|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|2S219A000103|R569637|6414|039.03|252000|272800|100000|624800|395850| Lot:  |No Address Found|5.0|4685.6|5285.3
1|2S219A000104|R569646|6414|039.03|226800|192180|72600|491580|375650| Lot:  |18020 SW NEUGEBAUER RD. HILLSBORO OR, 97123|3.7|4859.7|5018.65
2|2S219A000105|R569655|4010|039.03|226800|212750|0|439550|370480| Lot:  |28633 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|1.0|4793.63|4950.4
3|2S219A000200|R569664|6414|039.03|251800|221380|75000|548180|378620| Lot:  |28562 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.0|4897.74|5057.85
4|2S219A000300|R569673|6414|039.03|252000|146910|80070|478980|282370| Lot:  |28800 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|3.67|3667.8|3787.22
5|2S219A000800|R569682|4010|039.03|314930|221990|0|536920|366950| Lot:  |18540 SW NEUGEBAUER RD. HILLSBORO OR, 97123|4.11|4748.61|4903.79
6|2S219A000900|R569691|5414|039.03|252000|165060|377790|794850|302190| Lot:  |18345 SW NEUGEBAUER RD. HILLSBORO OR, 97123|14.16|3921.15|4048.88
7|2S219A001000|R569708|4000|039.03|256750|0|0|256750|126870| Lot:  |   . HILLSBORO OR, 97123|2.0|1680.84|1734.44
8|2S219A001001|R569717|4010|039.03|381800|287310|0|669110|464630| Lot:  |18515 SW NEUGEBAUER RD. HILLSBORO OR, 97123|5.28|4472.37|6193.28
9|2S219A001002|R569726|4010|039.03|282950|232050|0|515000|414180| Lot:  |18585 SW NEUGEBAUER RD. HILLSBORO OR, 97123|1.84|5352.09|5527.27
10|2S219A001100|R569735|6414|039.03|252000|258000|133660|643660|386430| Lot:  |18661 SW NEUGEBAUER RD. HILLSBORO OR, 97123|8.14|4937.88|5101.33
11|2S219A001101|R569744|4010|039.03|343190|477020|0|820210|613220| Lot:  |19023 SW NEUGEBAUER RD. HILLSBORO OR, 97123|3.04|7835.78|8095.24
12|2S219A001102|R569753|6414|039.03|296100|224610|84910|605620|411370| Lot:  |18930 SW NEUGEBAUER RD. HILLSBORO OR, 97123|5.23|5256.68|5430.59
13|2S219A001103|R569762|4010|039.03|300650|118580|0|419230|235420| Lot:  |18918 SW NEUGEBAUER RD. HILLSBORO OR, 97123|2.4|3008.31|3107.84
14|2S219A001104|R569771|4010|039.03|311590|218220|0|529810|308890| Lot:  |18959 SW NEUGEBAUER RD. HILLSBORO OR, 97123|2.79|3947.11|4077.72
15|2S219A001105|R953711|6414|046.06|0|0|2950|2950|80| Lot:  |18730 SW FOREST PARK RD. HILLSBORO OR, 97123|0.17|0.85|0.93
16|2S219A001105|R569780|6414|039.03|252000|269840|119520|641360|398820| Lot:  |18730 SW FOREST PARK RD. HILLSBORO OR, 97123|8.65|5155.97|5324.52
17|2S219A001200|R569799|4010|039.03|350190|204660|0|554850|301330| Lot:  |18795 SW NEUGEBAUER RD. HILLSBORO OR, 97123|4.83|3850.51|3977.91
18|2S219A001300|R569806|4010|039.03|323480|310170|0|633650|469080| Lot:  |18636 SW NEUGEBAUER RD. HILLSBORO OR, 97123|3.27|6053.57|6252.02
19|2S219A001301|R569815|6414|039.03|226800|143240|61150|431190|249540| Lot:  |28580 SW HIDEAWAY LN. HILLSBORO OR, 97123|3.12|3248.37|3353.86
20|2S219A001302|R569824|4010|039.03|265630|122670|0|388300|247440| Lot:  |28756 SW HIDEAWAY LN. HILLSBORO OR, 97123|2.08|3221.5|3326.13
21|2S219A001303|R569833|4010|039.03|261170|39950|0|301120|228990| Lot:  |28664 SW HIDEAWAY LN. HILLSBORO OR, 97123|2.06|2985.78|3082.55
22|2S219A001304|R569842|6414|039.03|239400|191260|37500|468160|318120| Lot:  |28620 SW HIDEAWAY LN. HILLSBORO OR, 97123|2.17|4124.63|4259.17
23|2S219A001400|R569851|6414|039.03|301050|382410|78660|762120|560770| Lot:  |18820 SW NEUGEBAUER RD. HILLSBORO OR, 97123|4.9|7165.59|7402.85
24|2S219A001401|R569860|6414|039.03|252000|312440|98530|662970|437630| Lot:  |18750 SW NEUGEBAUER RD. HILLSBORO OR, 97123|4.86|5592.02|5777.23
25|2S219A001402|R569879|6404|039.03|0|0|186930|186930|590| Lot:  |   . HILLSBORO OR, 97123|1.27|7.61|7.81
26|2S219A001500|R569888|4010|039.03|340460|236550|0|577010|429070| Lot:  |19132 SW NEUGEBAUER RD. HILLSBORO OR, 97123|4.13|5482.78|5664.24
27|2S219A001501|R569897|4010|039.03|331320|209220|0|540540|406440| Lot:  |28577 SW HERD LN. HILLSBORO OR, 97123|2.59|5193.62|5365.5
28|2S219C000100|R2157199|6405|046.06|0|0|367200|367200|32060|2007-062 PARTITION PLAT Lot:1  |19010 SW MCCORMICK HILL RD. HILLSBORO OR, 97123|75.98|380.26|372.99
29|2S219C000200|R2157200|6415|046.06|385990|1870|7850|395710|181790|2007-062 PARTITION PLAT Lot:2  |19020 SW MCCORMICK HILL RD. HILLSBORO OR, 97123|2.15|2155.97|2114.95
30|2S219C000300|R2157201|6415|046.06|0|396800|370000|766800|395420|2007-062 PARTITION PLAT Lot:3  |19000 SW MCCORMICK HILL RD. HILLSBORO OR, 97123|5.0|4691.1|4600.26
31|2S2200000300|R569968|0000|039.03|25050|0|0|25050|0| Lot:  |   . HILLSBORO OR, 97123|3.34|0.0|0.0
32|2S2200000301|R569977|6414|039.03|300000|336960|123190|760150|477540| Lot:  |27922 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.17|6161.63|6363.72
33|2S2200000302|R569986|6414|039.03|321170|240710|132600|694480|394270| Lot:  |28291 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|8.19|5097.67|5264.44
34|2S2200000303|R569995|5414|039.03|330000|247730|120000|697730|369600| Lot:  |28218 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.0|4782.45|4938.75
35|2S2200000304|R570000|4010|039.03|420000|256010|0|676010|390330| Lot:  |28384 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.0|5047.41|5212.43
36|2S2200000305|R570019|6414|039.03|300000|242380|131340|673720|347920| Lot:  |27701 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.65|4505.41|4652.56
37|2S2200000306|R570028|6414|039.03|270000|228710|96200|594910|311430| Lot:  |28095 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|3.6|4039.23|4170.85
38|2S2200000307|R570037|6414|039.03|300000|273900|126560|700460|370510| Lot:  |27690 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.36|4794.0|4950.78
39|2S2200000308|R570046|4010|039.03|419700|115720|0|535420|268810| Lot:  |27685 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|4.97|3494.61|3608.22
40|2S2200000309|R570055|4010|039.03|423730|216680|0|640410|327400| Lot:  |28100 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.2|4243.22|4381.69
41|2S2200000310|R570064|6414|039.03|300000|288100|141550|729650|389050| Lot:  |27899 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.39|5030.93|5195.52
42|2S2200000311|R570073|6414|039.03|300000|217230|127080|644310|320240| Lot:  |27783 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.39|4151.76|4287.16
43|2S2200000312|R570082|6414|039.03|300000|159460|123190|582650|289290| Lot:  |27754 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.17|3756.26|3878.59
44|2S2200000313|R570091|6414|039.03|300000|236940|80000|616940|377010| Lot:  |28017 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|3.0|4877.21|5036.59
45|2S2200000314|R570108|6414|039.03|300000|183320|114050|597370|255640| Lot:  |28223 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|4.52|3326.26|3434.36
46|2S2200000315|R570117|6414|039.03|300000|608760|120570|1029330|527080| Lot:  |28479 SW STRAWBERRY HILL DR. HILLSBORO OR, 97123|5.03|6794.55|7017.68
47|2S2200000500|R570144|6414|039.03|300000|343850|168940|812790|443440| Lot:  |28455 SW HERD LN. HILLSBORO OR, 97123|12.22|5666.36|5853.93
48|2S2200000501|R989817|6414|039.03|256500|48000|151840|456340|137560| Lot:  |28220 SW HERD LN. HILLSBORO OR, 97123|10.32|1757.85|1815.97
49|2S2200000502|R989826|6614|039.03|300000|340680|160800|801480|493490| Lot:  |28450 SW HERD LN. HILLSBORO OR, 97123|11.25|6305.88|6514.64
