|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N2090000709|R2152381|5505|001.24|0|0|65330|65330|10390|GROVELAND ACRES Lot:21  |   . HILLSBORO OR, 97124|10.05|132.82|137.17
1|1N2090000800|R654580|5505|001.24|0|0|324550|324550|44720| Lot:  |   . HILLSBORO OR, 97124|49.99|571.32|590.36
2|1N2090000801|R654599|5515|001.24|0|225870|614290|840160|254730| Lot:  |25877 NW WEST UNION RD. HILLSBORO OR, 97124|49.99|3256.52|3362.76
3|1N2090000900|R654606|6415|001.24|0|425640|1386950|1812590|537740| Lot:  |26245 NW WEST UNION RD. HILLSBORO OR, 97124|201.64|6872.87|7098.8
4|1N2090001000|R654615|5015|001.24|337500|181680|0|519180|249810|GROVELAND ACRES Lot:42  |25863 NW WEST UNION RD. HILLSBORO OR, 97124|1.84|3192.15|3297.78
5|1N2090001100|R654624|5515|001.24|0|219990|521850|741840|179610|GROVELAND ACRES Lot:40, 41  |25650 NW WEST UNION RD. HILLSBORO OR, 97124|14.45|2296.8|2371.07
6|1N2090001100|R654624|5515|001.24|0|219990|521850|741840|179610|GROVELAND ACRES Lot:40, 41  |25650 NW WEST UNION RD. HILLSBORO OR, 97124|14.45|2296.8|2371.07
7|1N2090001200|R654633|5515|001.24|0|263060|424620|687680|199860|GROVELAND ACRES Lot:29  |8051 NW GROVELAND RD. HILLSBORO OR, 97124|4.46|2048.83|2638.4
8|1N2090001201|R654642|5515|001.23|305000|227740|234460|767200|358320|GROVELAND ACRES Lot:8, 7  |7770 NW GROVELAND RD. HILLSBORO OR, 97124|14.49|4578.74|4730.25
9|1N2090001201|R654642|5515|001.23|305000|227740|234460|767200|358320|GROVELAND ACRES Lot:8, 7  |7770 NW GROVELAND RD. HILLSBORO OR, 97124|14.49|4578.74|4730.25
10|1N2090001203|R2014700|5515|001.23|0|0|128600|128600|18400|GROVELAND ACRES Lot:9, 10, 29, 30, 37, 38, 39, 41  |   . HILLSBORO OR, 97124|19.8|235.07|242.9
11|1N2090001203|R1113912|5515|001.24|0|10530|329600|340130|57740|GROVELAND ACRES Lot:9, 10, 29, 30, 37, 38, 39, 41  |   . HILLSBORO OR, 97124|53.19|734.0|762.23
12|1N2090001203|R1113912|5515|001.24|0|10530|329600|340130|57740|GROVELAND ACRES Lot:9, 10, 29, 30, 37, 38, 39, 41  |   . HILLSBORO OR, 97124|53.19|734.0|762.23
13|1N2090001203|R2014700|5515|001.23|0|0|128600|128600|18400|GROVELAND ACRES Lot:9, 10, 29, 30, 37, 38, 39, 41  |   . HILLSBORO OR, 97124|19.8|235.07|242.9
14|1N2090001204|||||||||||||
15|1N2100000100|R654660|5515|001.24|0|167360|599000|766360|107380| Lot:  |22518 NW PHILLIPS RD. HILLSBORO OR, 97124|25.0|1373.79|1417.55
16|1N2100000101|R1302860|5505|001.24|0|0|148330|148330|22090| Lot:  |   . HILLSBORO OR, 97124|22.82|282.31|291.62
17|1N2100000200|R654679|5515|001.24|0|198580|512000|710580|198620| Lot:  |23350 NW PHILLIPS RD. HILLSBORO OR, 97124|9.32|2539.62|2622.04
18|1N2100000300|R654688|5515|001.24|0|261040|509700|770740|250260| Lot:  |9520 NW HELVETIA RD. HILLSBORO OR, 97124|9.62|3199.4|3303.73
19|1N2100000400|R654697|5515|001.24|0|30600|290940|321540|76910| Lot:  |No Address Found|44.76|997.9|1015.28
20|1N2100000401|R654704|5015|001.24|350060|284410|0|634470|397970| Lot:  |9480 NW HELVETIA RD. HILLSBORO OR, 97124|1.79|5085.32|5253.69
21|1N2100000402|R2179525|5505|001.24|0|0|172840|172840|19850| Lot:  |   . HILLSBORO OR, 97124|26.59|253.89|262.03
22|1N2100000500|R654713|5505|001.24|0|0|9230|9230|1460| Lot:  |   . HILLSBORO OR, 97124|1.42|18.68|19.26
23|1N2100000600|R654722|5505|001.24|0|0|168130|168130|25530| Lot:  |   . HILLSBORO OR, 97124|26.3|326.14|337.03
24|1N2100000601|R654731|5515|001.24|0|190860|520380|711240|172850| Lot:  |23121 NW WEST UNION RD. HILLSBORO OR, 97124|47.34|1422.49|2281.82
25|1N2100000602|R654740|5505|001.24|0|0|100880|100880|15900| Lot:  |   . HILLSBORO OR, 97124|15.52|203.22|209.92
26|1N2100000603|R654759|5505|001.24|0|0|153730|153730|24470| Lot:  |   . HILLSBORO OR, 97124|23.65|312.57|323.03
27|1N2100000604|R654768|6415|001.24|0|448610|618730|1067340|461770| Lot:  |22651 NW WEST UNION RD. HILLSBORO OR, 97124|58.04|5901.97|6095.92
28|1N2100000607|R1169835|5515|001.24|260780|311380|107690|679850|345670| Lot:  |23045 NW WEST UNION RD. HILLSBORO OR, 97124|3.06|4416.97|4563.26
29|1N2100000700|R654777|5515|001.24|0|649190|542390|1191580|488770| Lot:  |8165 NW HELVETIA RD. HILLSBORO OR, 97124|14.81|6247.2|6452.33
30|1N2100000701|R654786|5515|001.24|48130|502070|492540|1042740|406390| Lot:  |8315 NW HELVETIA RD. HILLSBORO OR, 97124|14.81|5194.66|5364.85
31|1N2100000800|R654795|5515|001.24|0|177270|403170|580440|152710| Lot:  |8700 NW HELVETIA RD. HILLSBORO OR, 97124|2.85|1952.88|2015.96
32|1N2100000801|R654802|5505|001.24|0|0|165840|165840|24070| Lot:  |   . HILLSBORO OR, 97124|26.08|307.44|317.75
33|1N2100000802|R654811|5505|001.24|0|0|285160|285160|39610| Lot:  |   . HILLSBORO OR, 97124|43.87|506.2|522.9
34|1N2100000900|R654820|5515|001.24|0|204810|843590|1048400|289210| Lot:  |9353 NW HELVETIA RD. HILLSBORO OR, 97124|99.6|3697.04|3817.9
35|1N2100001000|R654839|4010|001.24|419190|450880|0|870070|474430|BAILEY'S ADDITION TO GROVELAND ACRES Lot:110  |9740 NW BIDWELL RD. HILLSBORO OR, 97124|2.9|6062.41|6263.05
36|1N2100001001|R654848|4010|001.24|381390|764990|0|1146380|689860|BAILEY'S ADDITION TO GROVELAND ACRES Lot:113, 112  |9990 NW BIDWELL RD. HILLSBORO OR, 97124|2.71|8815.1|9106.96
37|1N2100001001|R654848|4010|001.24|381390|764990|0|1146380|689860|BAILEY'S ADDITION TO GROVELAND ACRES Lot:113, 112  |9990 NW BIDWELL RD. HILLSBORO OR, 97124|2.71|8815.1|9106.96
38|1N2100001002|R1207562|5414|001.24|289750|227140|133070|649960|271530|BAILEY'S ADDITION TO GROVELAND ACRES Lot:111 & PTS 110 &  |9880 NW BIDWELL RD. HILLSBORO OR, 97124|3.66|3469.74|3584.52
39|1N2100001100|R654857|4000|001.24|326150|0|0|326150|131070|BAILEY'S ADDITION TO GROVELAND ACRES Lot:99  |   . HILLSBORO OR, 97124|2.26|1674.93|1730.28
40|1N2100001200|R654866|4010|001.24|411730|57350|0|469080|270710|BAILEY'S ADDITION TO GROVELAND ACRES Lot:  |9715 NW BIDWELL RD. HILLSBORO OR, 97124|3.39|3459.2|3573.71
41|1N2100001201|R654875|4010|001.24|428740|248500|0|677240|359520| Lot:  |9745 NW BIDWELL RD. HILLSBORO OR, 97124|3.81|4593.98|4746.08
42|1N2100001300|R654884|5505|001.24|0|0|351460|351460|46120| Lot:  |   . HILLSBORO OR, 97124|54.07|589.37|608.83
43|1N2100001301|R654893|5015|001.24|394750|300390|0|695140|394540| Lot:  |24769 NW WEST UNION RD. HILLSBORO OR, 97124|3.0|4685.46|5208.4
44|1N2100001302|R654900|6405|001.24|0|0|68350|68350|4010| Lot:  |   . HILLSBORO OR, 97124|7.01|51.19|52.94
45|1N2100001303|R654919|5505|001.24|0|0|351000|351000|44720| Lot:  |   . HILLSBORO OR, 97124|54.0|571.32|590.36
46|1N2100001400|R654928|5505|001.24|0|0|40820|40820|6490| Lot:  |   . HILLSBORO OR, 97124|6.28|82.91|85.68
47|1N2100001401|R654937|5515|001.24|22970|689690|526610|1239270|487340| Lot:  |24327 NW WEST UNION RD. HILLSBORO OR, 97124|9.79|6228.89|6433.49
48|1N2100001500|R654946|5505|001.24|0|0|61690|61690|9810| Lot:  |   . HILLSBORO OR, 97124|9.49|125.46|129.5
49|1N2100001501|R654955|5505|001.24|0|0|45210|45210|7230| Lot:  |   . HILLSBORO OR, 97124|6.99|92.39|95.45
50|1N2100001502|R654964|5015|001.24|348520|157780|0|506300|253660| Lot:  |8125 NW HELVETIA RD. HILLSBORO OR, 97124|1.77|3241.41|3348.61
51|1N2100001600|R654973|5505|001.24|0|0|0|0|0| Lot:  |   . HILLSBORO OR, 97124|67.65||
52|1N2100001600|R655026|5505|001.24|0|0|58500|58500|9310| Lot:  |   . HILLSBORO OR, 97124|9.0|118.99|122.9
53|1N2100001600|R655044|5505|001.24|0|0|82100|82100|12330| Lot:  |   . HILLSBORO OR, 97124|12.63|157.69|162.77
54|1N2100001600|R655017|5505|001.24|0|0|1690|1690|260| Lot:  |   . HILLSBORO OR, 97124|0.26|3.43|3.44
55|1N2100001600|R655062|5505|001.24|0|0|43810|43810|6970| Lot:  |   . HILLSBORO OR, 97124|6.74|89.1|92.02
