"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N234AB81152" "R2094111" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:115, BLDG 12  " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 2727.31 2849.14
1 "1N234AB81162" "R2094112" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:116  " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
2 "1N234AB81172" "R2094113" "1020" "001.12" 0 188820 0 188820 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:117 12 " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 2110.13 2204.28
3 "1N234AB81182" "R2094114" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:118  " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
4 "1N234AB81192" "R2094115" "1020" "001.12" 0 297260 0 297260 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:119, BLDG 12  " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 2863.5 2991.39
5 "1N234AB81202" "R2094116" "1020" "001.12" 0 315230 0 315230 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:120  " "1170 NE 64TH LN. HILLSBORO OR, 97124" "" 3344.82 3494.18
6 "1N234AB81211" "R2094117" "1020" "001.12" 0 333810 0 333810 200290 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:121 11 " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 3293.48 3440.59
7 "1N234AB81221" "R2094118" "1020" "001.12" 0 204410 0 204410 136810 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:122, BLDG 11  " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2249.69 2350.13
8 "1N234AB81231" "R2094119" "1020" "001.12" 0 337440 0 337440 197980 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:123, BLDG 11  " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 3255.57 3400.92
9 "1N234AB81242" "R2094120" "1020" "001.12" 0 338190 0 338190 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:124 11 " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 3344.82 3494.18
10 "1N234AB81252" "R2094121" "1020" "001.12" 0 291220 0 291220 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:125  " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2863.5 2991.39
11 "1N234AB81262" "R2094122" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:126, BLDG 11  " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
12 "1N234AB81272" "R2094123" "1020" "001.12" 0 194850 0 194850 132260 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:127 11 " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2174.84 2271.98
13 "1N234AB81282" "R2094124" "1020" "001.12" 0 228390 0 228390 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:128 11 " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
14 "1N234AB81292" "R2094125" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:129 11 " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 2727.31 2849.14
15 "1N234AB81302" "R2094126" "1020" "001.12" 0 330990 0 330990 207750 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:130  " "1175 NE 64TH LN. HILLSBORO OR, 97124" "" 3416.15 3568.74
16 "1N234AB81311" "R2094127" "1020" "001.12" 0 318650 0 318650 194050 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:131, BLDG 10  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 3190.88 3333.38
17 "1N234AB81321" "R2094128" "1020" "001.12" 0 204410 0 204410 131640 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:132  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2164.68 2261.31
18 "1N234AB81331" "R2094129" "1020" "001.12" 0 327380 0 327380 203070 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:133 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 3339.22 3488.33
19 "1N234AB81342" "R2094130" "1020" "001.12" 0 330990 0 330990 211180 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:134  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 3472.54 3627.67
20 "1N234AB81352" "R2094131" "1020" "001.12" 0 276380 0 276380 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:135 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2727.31 2849.14
21 "1N234AB81362" "R2094132" "1020" "001.12" 0 223820 0 223820 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:136, BLDG 10  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2484.96 2595.95
22 "1N234AB81372" "R2094133" "1020" "001.12" 0 194850 0 194850 129900 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:137 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2136.08 2231.45
23 "1N234AB81382" "R2094134" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:138 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2486.48 2597.51
24 "1N234AB81392" "R2094135" "1020" "001.12" 0 287190 0 287190 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:139, BLDG 10  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2863.5 2991.39
25 "1N234AB81402" "R2094136" "1020" "001.12" 0 309390 0 309390 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:140  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 3344.82 3494.18
26 "1N234AB81411" "R2095380" "1020" "001.12" 0 318650 0 318650 194050 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:141 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3190.88 3333.38
27 "1N234AB81421" "R2096075" "1020" "001.12" 0 204410 0 204410 133700 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:142 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2198.55 2296.69
28 "1N234AB81431" "R2096076" "1020" "001.12" 0 327380 0 327380 203070 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:143 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3339.22 3488.33
29 "1N234AB81442" "R2096077" "1020" "001.12" 0 337180 0 337180 211180 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:144, BLDG 18  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3472.54 3627.67
30 "1N234AB81452" "R2096078" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:145 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2727.31 2849.14
