"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N235AD11700" "R2068471" "1010" "001.17" 197550 197600 0 395150 243530 "AMBER VIEW NO.2 Lot:112  " "1425 NE 85TH AVE. HILLSBORO OR, 97006" 0.13 4004.53 4183.36
1 "1N235AD11800" "R2068472" "1010" "001.17" 197550 187100 0 384650 236970 "AMBER VIEW NO.2 Lot:113  " "1447 NE 85TH AVE. HILLSBORO OR, 97006" 0.11 3896.63 4070.66
2 "1N235AD11900" "R2068485" "1010" "001.17" 197550 202600 0 400150 253260 "AMBER VIEW NO.2 Lot:114  " "8511 NE HODES ST. HILLSBORO OR, 97006" 0.15 4164.57 4350.52
3 "1N235AD12000" "R2068486" "1010" "001.17" 197550 191840 0 389390 238650 "AMBER VIEW NO.2 Lot:115  " "8537 NE HODES ST. HILLSBORO OR, 97006" 0.12 3924.24 4099.52
4 "1N235AD12100" "R2068487" "1010" "001.17" 197550 188060 0 385610 244000 "AMBER VIEW NO.2 Lot:116  " "8557 NE HODES ST. HILLSBORO OR, 97006" 0.12 4012.32 4191.43
5 "1N235AD12200" "R2068488" "1010" "001.17" 197550 187050 0 384600 242960 "AMBER VIEW NO.2 Lot:117  " "8573 NE HODES ST. HILLSBORO OR, 97006" 0.12 3995.19 4173.57
6 "1N235AD12300" "R2068489" "1010" "001.17" 197550 202710 0 400260 254450 "AMBER VIEW NO.2 Lot:118  " "8599 NE HODES ST. HILLSBORO OR, 97006" 0.12 4184.05 4370.93
7 "1N235AD12400" "R2068490" "1010" "001.17" 197550 190220 0 387770 245090 "AMBER VIEW NO.2 Lot:119  " "8625 NE HODES ST. HILLSBORO OR, 97006" 0.12 4030.22 4210.17
8 "1N235AD12500" "R2068491" "1010" "001.17" 197550 188060 0 385610 242670 "AMBER VIEW NO.2 Lot:120  " "8641 NE HODES ST. HILLSBORO OR, 97006" 0.12 3990.46 4168.58
9 "1N235AD12600" "R2068492" "1010" "001.17" 197550 191860 0 389410 242960 "AMBER VIEW NO.2 Lot:121  " "8653 NE HODES ST. HILLSBORO OR, 97006" 0.12 3995.19 4173.57
10 "1N235AD12700" "R2068493" "1010" "001.17" 197550 188060 0 385610 216880 "AMBER VIEW NO.2 Lot:  " "8665 NE HODES ST. HILLSBORO OR, 97006" 0.12 3566.35 3725.56
11 "1N235AD12800" "R2068494" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:B  " "   . HILLSBORO OR, 97006" 0.12 0.0 0.0
12 "1N235AD12900" "R2068495" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:C  " "   . HILLSBORO OR, 97006" 0.13 0.0 0.0
13 "1N235AD13000" "R2068497" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:D  " "   . HILLSBORO OR, 97006" 0.13 0.0 0.0
14 "1N235AD13100" "R2068498" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:E  " "   . HILLSBORO OR, 97006" 0.17 0.0 0.0
15 "1N235AD13200" "R2068499" "1000" "001.17" 0 0 0 0 0 "AMBER VIEW NO.2 Lot:F  " "   . HILLSBORO OR, 97006" 0.1 0.0 0.0
16 "1N235AD80000" "R2118342" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO Lot:  " "   . HILLSBORO OR, 97006" 0.69 0.0 0.0
17 "1N235AD80001" "R2121798" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO Lot:  " "   . HILLSBORO OR, 97006" 1.54 0.0 0.0
18 "1N235AD80002" "R2123982" "0000" "001.17" 0 0 0 0 0 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:  " "   . HILLSBORO OR, 97006" 0.29 0.0 0.0
19 "1N235AD80011" "R2123983" "1020" "001.17" 0 233620 0 233620 122500 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:1  " "1293 NE PERL WAY. HILLSBORO OR, 97006" "" 2014.46 2104.29
20 "1N235AD80021" "R2123984" "1020" "001.17" 0 238460 0 238460 122500 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:2  " "1271 NE PERL WAY. HILLSBORO OR, 97006" "" 2014.46 2104.29
21 "1N235AD80031" "R2123985" "1020" "001.17" 0 233620 0 233620 122500 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:3  " "1249 NE PERL WAY. HILLSBORO OR, 97006" "" 2014.46 2104.29
22 "1N235AD80041" "R2123986" "1020" "001.17" 0 241420 0 241420 127360 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:4  " "1227 NE PERL WAY. HILLSBORO OR, 97006" "" 2094.39 2187.78
23 "1N235AD80051" "R2123987" "1020" "001.17" 0 248830 0 248830 127360 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:5  " "1205 NE PERL WAY. HILLSBORO OR, 97006" "" 2094.39 2187.78
24 "1N235AD80061" "R2123988" "1020" "001.17" 0 228240 0 228240 119270 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:6  " "1298 NE PERL WAY. HILLSBORO OR, 97006" "" 1961.28 2048.81
25 "1N235AD80071" "R2123989" "1020" "001.17" 0 231140 0 231140 121060 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:7  " "1276 NE PERL WAY. HILLSBORO OR, 97006" "" 1990.75 2079.57
26 "1N235AD80081" "R2123990" "1020" "001.17" 0 233820 0 233820 122730 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:8  " "1254 NE PERL WAY. HILLSBORO OR, 97006" "" 2018.18 2108.26
27 "1N235AD80091" "R2123991" "1020" "001.17" 0 233820 0 233820 122730 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:9  " "1232 NE PERL WAY. HILLSBORO OR, 97006" "" 2018.18 2108.26
28 "1N235AD80101" "R2123992" "1020" "001.17" 0 226260 0 226260 118030 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.7: ANNEXATION OF STAGE 8 Lot:10  " "1210 NE PERL WAY. HILLSBORO OR, 97006" "" 1940.92 2027.51
29 "1N235AD80111" "R2119844" "1020" "001.17" 0 249740 0 249740 132400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:11  " "1189 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.22 2274.37
30 "1N235AD80121" "R2119845" "1020" "001.17" 0 249680 0 249680 132340 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:12  " "1181 NE PERL WAY. HILLSBORO OR, 97006" "" 2176.19 2273.33
31 "1N235AD80131" "R2119846" "1020" "001.17" 0 254220 0 254220 132400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:13  " "1173 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.22 2274.37
32 "1N235AD80141" "R2119847" "1020" "001.17" 0 249740 0 249740 132400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:14  " "1165 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.22 2274.37
33 "1N235AD80151" "R2119848" "1020" "001.17" 0 249740 0 249740 132400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:15  " "1157 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.22 2274.37
34 "1N235AD80161" "R2119849" "1020" "001.17" 0 249940 0 249940 132650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:16  " "1194 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.26 2278.67
35 "1N235AD80171" "R2119850" "1020" "001.17" 0 249940 0 249940 132650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:17  " "1186 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.26 2278.67
36 "1N235AD80181" "R2119851" "1020" "001.17" 0 249940 0 249940 132650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:18  " "1178 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.26 2278.67
37 "1N235AD80191" "R2119852" "1020" "001.17" 0 249940 0 249940 132650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:19  " "1170 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.26 2278.67
38 "1N235AD80201" "R2119853" "1020" "001.17" 0 249740 0 249740 132400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:20  " "1162 NE PERL WAY. HILLSBORO OR, 97006" "" 2177.22 2274.37
39 "1N235AD80211" "R2118343" "1020" "001.17" 0 252180 0 252180 137450 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:21  " "1141 NE PERL WAY. HILLSBORO OR, 97006" "" 2260.19 2361.12
40 "1N235AD80221" "R2118651" "1020" "001.17" 0 240180 0 240180 131010 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:22  " "1133 NE PERL WAY. HILLSBORO OR, 97006" "" 2154.36 2250.51
41 "1N235AD80231" "R2118652" "1020" "001.17" 0 249240 0 249240 137450 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:23  " "1125 NE PERL WAY. HILLSBORO OR, 97006" "" 2260.19 2361.12
42 "1N235AD80241" "R2118653" "1020" "001.17" 0 240180 0 240180 131010 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:24  " "1117 NE PERL WAY. HILLSBORO OR, 97006" "" 2154.36 2250.51
43 "1N235AD80251" "R2118654" "1020" "001.17" 0 252180 0 252180 137450 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:25  " "1109 NE PERL WAY. HILLSBORO OR, 97006" "" 2260.19 2361.12
44 "1N235AD80261" "R2118655" "1020" "001.17" 0 242120 0 242120 132280 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:26  " "1146 NE PERL WAY. HILLSBORO OR, 97006" "" 2175.21 2272.31
45 "1N235AD80271" "R2118656" "1020" "001.17" 0 242120 0 242120 132280 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:27  " "1138 NE PERL WAY. HILLSBORO OR, 97006" "" 2175.21 2272.31
46 "1N235AD80281" "R2118657" "1020" "001.17" 0 242500 0 242500 132690 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:28  " "1130 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.98 2279.35
47 "1N235AD80291" "R2118658" "1020" "001.17" 0 242500 0 242500 132690 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:29  " "1122 NE PERL WAY. HILLSBORO OR, 97006" "" 2181.98 2279.35
48 "1N235AD80301" "R2118659" "1020" "001.17" 0 242120 0 242120 132280 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:30  " "1114 NE PERL WAY. HILLSBORO OR, 97006" "" 2175.21 2272.31
49 "1N235AD80391" "R2121799" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:39  " "8680 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
50 "1N235AD80401" "R2121800" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:40  " "8686 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
51 "1N235AD80411" "R2121801" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:41  " "8694 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
52 "1N235AD80421" "R2121802" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:42  " "8692 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
53 "1N235AD80431" "R2121803" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:43  " "8699 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
54 "1N235AD80441" "R2121804" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:44  " "8691 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
55 "1N235AD80451" "R2121805" "1020" "001.17" 0 244160 0 244160 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:45  " "8693 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
56 "1N235AD80461" "R2121806" "1020" "001.17" 0 248490 0 248490 133650 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:46  " "8679 NE HYDE PARK LN. HILLSBORO OR, 97006" "" 2197.72 2295.85
57 "1N235AD80471" "R2121807" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:47  " "1206 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
58 "1N235AD80481" "R2121808" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:48  " "1228 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
59 "1N235AD80491" "R2121809" "1020" "001.17" 0 243650 0 243650 133200 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:49  " "1250 NE 86TH WAY. HILLSBORO OR, 97006" "" 2190.44 2288.12
60 "1N235AD80501" "R2121810" "1020" "001.17" 0 243650 0 243650 127400 "NOTTING HILL CONDO, SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:50  " "1272 NE 86TH WAY. HILLSBORO OR, 97006" "" 2094.93 2188.48
