"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1S2140003300" "R2207936" "6601" "029.13" 1354790 0 12448140 13802930 898740 "2018-038 PARTITION PLAT Lot:B  " "No Address Found" 44.85 0.0 15438.54
1 "1S2140003400" "R2207685" "5401" "029.13" 0 0 22840050 22840050 57860 "REEDS CROSSING Lot:Z  " "No Address Found" 55.93 0.0 993.89
2 "1S2140003500" "R2207686" "9200" "029.13" 15768360 0 0 15768360 0 "REEDS CROSSING Lot:AA  " "No Address Found" 40.0 0.0 0.0
3 "1S214CA00100" "R2206080" "1010" "029.13" 228250 381020 0 609270 379580 "BUTTERNUT CREEK Lot:38  " "5047 SE 82ND AVE. BEAVERTON OR, 97078" 0.14 742.51 6520.44
4 "1S214CA00200" "R2206081" "1010" "029.13" 217380 343040 0 560420 349140 "BUTTERNUT CREEK Lot:39  " "5067 SE 82ND AVE. BEAVERTON OR, 97078" 0.12 742.51 5997.54
5 "1S214CA00300" "R2206082" "1010" "029.13" 227680 353550 0 581230 362110 "BUTTERNUT CREEK Lot:40  " "5085 SE 82ND AVE. BEAVERTON OR, 97078" 0.14 742.51 6220.31
6 "1S214CA00400" "R2206083" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:41  " "8099 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.16 742.51 1963.61
7 "1S214CA00500" "R2206084" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:42  " "8085 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.15 742.51 1963.61
8 "1S214CA00600" "R2206085" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:43  " "8071 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
9 "1S214CA00700" "R2206086" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:44  " "8059 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
10 "1S214CA00800" "R2206087" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:45  " "8047 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.15 742.51 1963.61
11 "1S214CA00900" "R2206088" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:46  " "8035 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
12 "1S214CA01000" "R2206089" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:47  " "8019 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
13 "1S214CA01100" "R2206090" "1000" "029.13" 183480 0 0 183480 114310 "BUTTERNUT CREEK Lot:48  " "7997 SE BUTTERNUT CREEK PKWY. BEAVERTON OR, 97078" 0.14 742.51 1963.61
