"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N231CA09900" "R700682" "1010" "007.42" 142190 107970 0 250160 131670 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:8, 7 4 " "516 NE JACKSON ST. HILLSBORO OR, 97124" 0.08 2165.19 2261.83
1 "1N231CA10000" "R700691" "1010" "007.42" 142190 118760 0 260950 143980 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:8 4 " "506 NE JACKSON ST. HILLSBORO OR, 97124" 0.08 2367.58 2473.31
2 "1N231CA10100" "R700708" "1010" "007.42" 137390 78070 0 215460 125060 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:8, 7 4 " "264 NE 5TH AVE. HILLSBORO OR, 97124" 0.07 2056.45 2148.27
3 "1N231CA10200" "R700717" "1010" "007.42" 151770 162360 0 314130 199250 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:7, 8 4 " "256 NE 5TH AVE. HILLSBORO OR, 97124" 0.1 3276.41 3422.73
4 "1N231CA10300" "R700726" "1010" "007.42" 204190 151610 0 355800 212600 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:6, 7, 8, 9, 10 4 " "248 NE 5TH AVE. HILLSBORO OR, 97124" 0.23 3495.92 3652.03
5 "1N231CA10400" "R700735" "1010" "007.42" 180110 212220 0 392330 177190 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:9, 10 4 " "224 NE 5TH AVE. HILLSBORO OR, 97124" 0.13 2913.63 3043.76
6 "1N231CA10500" "R700744" "1010" "007.42" 189140 432120 0 621260 298010 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:9, 10 4 " "509 NE LINCOLN ST. HILLSBORO OR, 97124" 0.2 4032.78 5119.21
7 "1N231CA10600" "R700753" "1010" "007.42" 185320 112080 0 297400 122540 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:10, 11 4 " "519 NE LINCOLN ST. HILLSBORO OR, 97124" 0.17 2015.15 2105.0
8 "1N231CA10700" "R700762" "1000" "007.42" 96740 0 0 96740 3070 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:11 4 " "   . HILLSBORO OR, 97124" 0.07 50.64 52.73
9 "1N231CA10701" "R700771" "1010" "007.42" 156560 102860 0 259420 143500 "TUCKER & STEWART'S ADDITION TO HILLSBORO OREGON Lot:11 4 " "527 NE LINCOLN ST. HILLSBORO OR, 97124" 0.11 2359.8 2465.05
